INFO  | 04/07/2026 01:21:51 PM | File run.py               | Line 223   | Config: config/experiments/ppo_mountaincar_relu.yaml
INFO  | 04/07/2026 01:21:51 PM | File run.py               | Line 224   | Config hash: 79b814fad48cd6a5263be952910f09c43ee69babfc09a4cf4816b9dc1b476bf3
INFO  | 04/07/2026 01:21:51 PM | File run.py               | Line 225   | Save dir: exp/ppo_mountaincar_relu_20260407_132150_79b814fa
INFO  | 04/07/2026 01:21:51 PM | File run.py               | Line 236   | Task type: ppo
INFO  | 04/07/2026 01:21:52 PM | File ppo_runner.py        | Line 60    | PPO on MountainCar-v0 with BaselinePPO
INFO  | 04/07/2026 01:21:52 PM | File ppo_runner.py        | Line 70    | [Seed 42] (1/10)
INFO  | 04/07/2026 01:21:55 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-200.0
INFO  | 04/07/2026 01:22:08 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-200.0
INFO  | 04/07/2026 01:22:22 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-200.0
INFO  | 04/07/2026 01:22:37 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-200.0
INFO  | 04/07/2026 01:22:52 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-200.0
INFO  | 04/07/2026 01:23:06 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-200.0
INFO  | 04/07/2026 01:23:21 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-200.0
INFO  | 04/07/2026 01:23:36 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-200.0
INFO  | 04/07/2026 01:23:50 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-200.0
INFO  | 04/07/2026 01:24:05 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-200.0
INFO  | 04/07/2026 01:24:20 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-200.0
INFO  | 04/07/2026 01:24:34 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-200.0
INFO  | 04/07/2026 01:24:49 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-200.0
INFO  | 04/07/2026 01:25:04 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-200.0
INFO  | 04/07/2026 01:25:18 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-200.0
INFO  | 04/07/2026 01:25:33 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-200.0
INFO  | 04/07/2026 01:25:48 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-200.0
INFO  | 04/07/2026 01:26:02 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-200.0
INFO  | 04/07/2026 01:26:17 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-200.0
INFO  | 04/07/2026 01:26:32 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-200.0
INFO  | 04/07/2026 01:26:46 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-200.0
INFO  | 04/07/2026 01:26:46 PM | File ppo_runner.py        | Line 73    | [Seed 42] Done. Final avg(last 20): -200.00
INFO  | 04/07/2026 01:26:46 PM | File ppo_runner.py        | Line 70    | [Seed 43] (2/10)
INFO  | 04/07/2026 01:26:48 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-200.0
INFO  | 04/07/2026 01:27:01 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-200.0
INFO  | 04/07/2026 01:27:16 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-200.0
INFO  | 04/07/2026 01:27:31 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-200.0
INFO  | 04/07/2026 01:27:45 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-200.0
INFO  | 04/07/2026 01:28:00 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-200.0
INFO  | 04/07/2026 01:28:15 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-200.0
INFO  | 04/07/2026 01:28:29 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-200.0
INFO  | 04/07/2026 01:28:44 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-200.0
INFO  | 04/07/2026 01:28:59 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-200.0
INFO  | 04/07/2026 01:29:13 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-200.0
INFO  | 04/07/2026 01:29:28 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-200.0
INFO  | 04/07/2026 01:29:43 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-200.0
INFO  | 04/07/2026 01:29:57 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-200.0
INFO  | 04/07/2026 01:30:12 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-200.0
INFO  | 04/07/2026 01:30:27 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-200.0
INFO  | 04/07/2026 01:30:41 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-200.0
INFO  | 04/07/2026 01:30:56 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-200.0
INFO  | 04/07/2026 01:31:11 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-200.0
INFO  | 04/07/2026 01:31:25 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-200.0
INFO  | 04/07/2026 01:31:40 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-200.0
INFO  | 04/07/2026 01:31:40 PM | File ppo_runner.py        | Line 73    | [Seed 43] Done. Final avg(last 20): -200.00
INFO  | 04/07/2026 01:31:40 PM | File ppo_runner.py        | Line 70    | [Seed 44] (3/10)
INFO  | 04/07/2026 01:31:42 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-200.0
INFO  | 04/07/2026 01:31:55 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-200.0
INFO  | 04/07/2026 01:32:10 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-200.0
INFO  | 04/07/2026 01:32:24 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-200.0
INFO  | 04/07/2026 01:32:39 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-200.0
INFO  | 04/07/2026 01:32:54 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-200.0
INFO  | 04/07/2026 01:33:09 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-200.0
INFO  | 04/07/2026 01:33:23 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-200.0
INFO  | 04/07/2026 01:33:38 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-200.0
INFO  | 04/07/2026 01:33:53 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-200.0
INFO  | 04/07/2026 01:34:07 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-200.0
