INFO  | 03/03/2026 09:51:26 AM | File run.py               | Line 141   | Config: config/experiments/transformer_wikitext_2arg.yaml
INFO  | 03/03/2026 09:51:26 AM | File run.py               | Line 142   | Config hash: 29974a5774d3ea1ae333efbd30ec5e1d1b76ae127f575a1bdd4e1e3daebbbf75
INFO  | 03/03/2026 09:51:26 AM | File run.py               | Line 143   | Save dir: exp/transformer_wikitext_2arg_20260303_095126_29974a57
INFO  | 03/03/2026 09:51:26 AM | File run.py               | Line 147   | Task type: language_model
INFO  | 03/03/2026 09:51:29 AM | File lm_runner.py         | Line 28    | Loading WikiText-2 (train)...
INFO  | 03/03/2026 09:51:29 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 03/03/2026 09:51:29 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 03/03/2026 09:51:29 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
INFO  | 03/03/2026 09:51:29 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 307 Temporary Redirect"
INFO  | 03/03/2026 09:51:28 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
INFO  | 03/03/2026 09:51:28 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/wikitext/wikitext.py "HTTP/1.1 200 OK"
INFO  | 03/03/2026 09:51:28 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 307 Temporary Redirect"
INFO  | 03/03/2026 09:51:28 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 200 OK"
