INFO  | 04/06/2026 12:29:27 PM | File run.py               | Line 213   | Config: config/experiments/mlp_sst2_relu.yaml
INFO  | 04/06/2026 12:29:27 PM | File run.py               | Line 214   | Config hash: 3250d04f35da8b39e2d711dec5241f3fe9097d90eb76fd19808e57ffead6bf69
INFO  | 04/06/2026 12:29:27 PM | File run.py               | Line 215   | Save dir: ./exp/mlp_sst2_relu_20260406_122926_3250d04f
INFO  | 04/06/2026 12:29:27 PM | File run.py               | Line 226   | Task type: classification
INFO  | 04/06/2026 12:29:30 PM | File run.py               | Line 260   | === Starting Pretrain ===
INFO  | 04/06/2026 12:29:30 PM | File run.py               | Line 266   | === Starting Phase 1 ===
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/glue/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/nyu-mll/glue/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/nyu-mll/glue/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/README.md "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/glue.py "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/nyu-mll/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/glue.py "HTTP/1.1 404 Not Found"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/glue/glue.py "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:32 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/glue/revision/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/nyu-mll/glue/revision/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/nyu-mll/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/.huggingface.yaml "HTTP/1.1 404 Not Found"
WARNING | 04/06/2026 12:29:33 PM | File _http.py             | Line 916   | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=glue "HTTP/1.1 404 Not Found"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/ax?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/nyu-mll/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/ax?recursive=true&expand=false "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c?recursive=false&expand=false "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/nyu-mll/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c?recursive=false&expand=false "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/dataset_infos.json "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/nyu-mll/glue/resolve/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/dataset_infos.json "HTTP/1.1 404 Not Found"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/sst2?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/06/2026 12:29:33 PM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/nyu-mll/glue/tree/bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c/sst2?recursive=true&expand=false "HTTP/1.1 200 OK"
INFO  | 04/06/2026 12:29:44 PM | File experiment_runner.py | Line 800   | Model compiled with torch.compile(mode='reduce-overhead')
INFO  | 04/06/2026 12:29:48 PM | File experiment_runner.py | Line 203   | Epoch 1 | Val Loss = 0.694092 | Val Acc = 0.4502
INFO  | 04/06/2026 12:29:56 PM | File experiment_runner.py | Line 203   | Epoch 2 | Val Loss = 0.279447 | Val Acc = 0.8792
INFO  | 04/06/2026 12:29:59 PM | File experiment_runner.py | Line 203   | Epoch 3 | Val Loss = 0.253467 | Val Acc = 0.8919
INFO  | 04/06/2026 12:30:00 PM | File experiment_runner.py | Line 203   | Epoch 4 | Val Loss = 0.247713 | Val Acc = 0.8971
INFO  | 04/06/2026 12:30:02 PM | File experiment_runner.py | Line 203   | Epoch 5 | Val Loss = 0.248764 | Val Acc = 0.9001
