INFO  | 04/05/2026 07:22:53 PM | File run.py               | Line 213   | Config: config/experiments/mlp_speechcmd_relu.yaml
INFO  | 04/05/2026 07:22:53 PM | File run.py               | Line 214   | Config hash: f6177554f612184b0d477e5ff69d242b726fc3f6db53f71924b4e7f32b96f0d4
INFO  | 04/05/2026 07:22:53 PM | File run.py               | Line 215   | Save dir: ./exp/mlp_speechcmd_relu_20260405_182654_f6177554
INFO  | 04/05/2026 07:22:53 PM | File run.py               | Line 226   | Task type: classification
INFO  | 04/05/2026 07:23:06 PM | File run.py               | Line 263   | Pretrain already done, skipping.
INFO  | 04/05/2026 07:23:06 PM | File run.py               | Line 266   | === Starting Phase 1 ===
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/1b88bf70_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/798f702a_nohash_2.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/b12bef84_nohash_1.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/05b2db80_nohash_1.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/b66f4f93_nohash_5.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/750e3e75_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/3852fca2_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/5ac04a92_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/778a4a01_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/61e50f62_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/0cb74144_nohash_2.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/17c94b23_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/037c445a_nohash_1.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/3d794813_nohash_4.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/11321027_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/06f6c194_nohash_4.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/b97c9f77_nohash_1.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/10467b06_nohash_1.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/321aba74_nohash_0.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/d3831f6a_nohash_3.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/d3831f6a_nohash_4.wav already extracted.
INFO  | 04/05/2026 07:23:56 PM | File utils.py             | Line 22    | ./data/speech_commands/SpeechCommands/speech_commands_v0.02/./eight/baf01c1f_nohash_0.wav already extracted.
