INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 213   | Config: config/experiments/dqn_mountaincar_2arg.yaml
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 214   | Config hash: e67f6e0fe06d8d303697a0458f274eeaa96ea8a2553485cd04a25ee308e3ba41
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 215   | Save dir: exp/dqn_mountaincar_2arg_20260405_115239_e67f6e0f
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 226   | Task type: rl
INFO  | 04/05/2026 11:52:47 AM | File rl_runner.py         | Line 99    | Creating environment: MountainCar-v0
INFO  | 04/05/2026 11:52:50 AM | File rl_runner.py         | Line 104   | Environment ready: state_dim=2, action_dim=3
INFO  | 04/05/2026 11:52:50 AM | File rl_runner.py         | Line 109   | Pretraining InnerNet on Gaussian target (500 steps)...
INFO  | 04/05/2026 11:52:52 AM | File rl_runner.py         | Line 115   | InnerNet pretrained.
INFO  | 04/05/2026 11:52:52 AM | File rl_runner.py         | Line 121   | [Seed 42] (1/10) Training InnerNetDQN for 500 episodes...
INFO  | 04/05/2026 11:52:53 AM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 11:52:53 AM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 11:52:54 AM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 11:52:55 AM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 11:52:55 AM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 11:53:27 AM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 11:54:02 AM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 11:54:39 AM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 11:55:15 AM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 11:55:51 AM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 11:56:28 AM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 11:57:05 AM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -199.04 (eps: 0.173)
INFO  | 04/05/2026 11:57:41 AM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -192.38 (eps: 0.135)
INFO  | 04/05/2026 11:58:11 AM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -162.64 (eps: 0.105)
INFO  | 04/05/2026 11:58:36 AM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -135.68 (eps: 0.082)
INFO  | 04/05/2026 11:58:36 AM | File rl_runner.py         | Line 125   | [Seed 42] Done. Final avg(last 50): -135.68
INFO  | 04/05/2026 11:58:36 AM | File rl_runner.py         | Line 121   | [Seed 43] (2/10) Training InnerNetDQN for 500 episodes...
INFO  | 04/05/2026 11:58:36 AM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 11:58:37 AM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 11:58:37 AM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 11:58:38 AM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 11:58:39 AM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 11:59:09 AM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
