INFO  | 04/07/2026 01:21:14 PM | File run.py               | Line 223   | Config: config/experiments/ppo_mountaincar_2arg.yaml
INFO  | 04/07/2026 01:21:14 PM | File run.py               | Line 224   | Config hash: 60771a70da8c1fa865cbefffc0e20e6631b6bd8a9ae93db7ae0eb5f2ab82aedf
INFO  | 04/07/2026 01:21:14 PM | File run.py               | Line 225   | Save dir: exp/ppo_mountaincar_2arg_20260407_132114_60771a70
INFO  | 04/07/2026 01:21:14 PM | File run.py               | Line 236   | Task type: ppo
INFO  | 04/07/2026 01:21:17 PM | File ppo_runner.py        | Line 60    | PPO on MountainCar-v0 with InnerNetPPO
INFO  | 04/07/2026 01:21:17 PM | File ppo_runner.py        | Line 70    | [Seed 42] (1/10)
INFO  | 04/07/2026 01:21:24 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-200.0
INFO  | 04/07/2026 01:22:10 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-200.0
INFO  | 04/07/2026 01:23:00 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-200.0
INFO  | 04/07/2026 01:23:50 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-200.0
INFO  | 04/07/2026 01:24:40 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-200.0
INFO  | 04/07/2026 01:25:31 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-200.0
INFO  | 04/07/2026 01:26:21 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-200.0
INFO  | 04/07/2026 01:27:12 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-200.0
INFO  | 04/07/2026 01:28:02 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-200.0
INFO  | 04/07/2026 01:28:53 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-200.0
INFO  | 04/07/2026 01:29:43 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-200.0
INFO  | 04/07/2026 01:30:34 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-200.0
INFO  | 04/07/2026 01:31:24 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-200.0
INFO  | 04/07/2026 01:32:15 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-200.0
INFO  | 04/07/2026 01:33:05 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-200.0
INFO  | 04/07/2026 01:33:56 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-200.0
INFO  | 04/07/2026 01:34:46 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-200.0
INFO  | 04/07/2026 01:35:37 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-200.0
INFO  | 04/07/2026 01:36:27 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-200.0
INFO  | 04/07/2026 01:37:18 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-200.0
INFO  | 04/07/2026 01:38:09 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-200.0
INFO  | 04/07/2026 01:38:09 PM | File ppo_runner.py        | Line 73    | [Seed 42] Done. Final avg(last 20): -200.00
INFO  | 04/07/2026 01:38:09 PM | File ppo_runner.py        | Line 70    | [Seed 43] (2/10)
INFO  | 04/07/2026 01:38:15 PM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-200.0
INFO  | 04/07/2026 01:39:00 PM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-200.0
INFO  | 04/07/2026 01:39:51 PM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-200.0
INFO  | 04/07/2026 01:40:41 PM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-200.0
INFO  | 04/07/2026 01:41:32 PM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-200.0
INFO  | 04/07/2026 01:42:23 PM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-200.0
INFO  | 04/07/2026 01:43:13 PM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-200.0
INFO  | 04/07/2026 01:44:03 PM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-200.0
INFO  | 04/07/2026 01:44:54 PM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-200.0
INFO  | 04/07/2026 01:45:45 PM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-200.0
INFO  | 04/07/2026 01:46:35 PM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-200.0
INFO  | 04/07/2026 01:47:26 PM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-200.0
INFO  | 04/07/2026 01:48:16 PM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-200.0
INFO  | 04/07/2026 01:49:07 PM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-200.0
INFO  | 04/07/2026 01:49:57 PM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-200.0
INFO  | 04/07/2026 01:50:48 PM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-200.0
INFO  | 04/07/2026 01:51:39 PM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-200.0
INFO  | 04/07/2026 01:52:29 PM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-200.0
INFO  | 04/07/2026 01:53:20 PM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-200.0
INFO  | 04/07/2026 01:54:11 PM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-200.0
INFO  | 04/07/2026 01:55:01 PM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-200.0
INFO  | 04/07/2026 01:55:01 PM | File ppo_runner.py        | Line 73    | [Seed 43] Done. Final avg(last 20): -200.00
INFO  | 04/07/2026 01:55:01 PM | File ppo_runner.py        | Line 70    | [Seed 44] (3/10)
