INFO  | 04/08/2026 05:22:55 AM | File run.py               | Line 223   | Config: config/experiments/transformer_wikitext_scale_gelu_d192.yaml
INFO  | 04/08/2026 05:22:55 AM | File run.py               | Line 224   | Config hash: b1348ae2594fd3f34a3f2ab6798d39cff2ef85af929dcd6eadce37d53fda58eb
INFO  | 04/08/2026 05:22:55 AM | File run.py               | Line 225   | Save dir: exp/transformer_wikitext_scale_gelu_d192_20260408_052255_b1348ae2
INFO  | 04/08/2026 05:22:55 AM | File run.py               | Line 236   | Task type: language_model
INFO  | 04/08/2026 05:23:00 AM | File lm_runner.py         | Line 39    | Loading WikiText-2 (train)...
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/wikitext/wikitext.py "HTTP/1.1 200 OK"
INFO  | 04/08/2026 05:23:00 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 307 Temporary Redirect"
