INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 213   | Config: config/experiments/transformer_wikitext_baseline_small.yaml
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 214   | Config hash: 3b0905eaddba2f49607d5e6ac8cfa194520155acab2c6df26caa465d0d18e81e
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 215   | Save dir: exp/transformer_wikitext_baseline_small_20260405_115239_3b0905ea
INFO  | 04/05/2026 11:52:39 AM | File run.py               | Line 226   | Task type: language_model
INFO  | 04/05/2026 11:53:23 AM | File lm_runner.py         | Line 28    | Loading WikiText-2 (train)...
INFO  | 04/05/2026 11:53:23 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/05/2026 11:53:23 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/05/2026 11:53:23 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/wikitext/wikitext.py "HTTP/1.1 200 OK"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/Salesforce/wikitext/revision/b08601e04326c79dfdd32d625aee71d232d685c3 "HTTP/1.1 200 OK"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/.huggingface.yaml "HTTP/1.1 404 Not Found"
WARNING | 04/05/2026 11:53:24 AM | File _http.py             | Line 916   | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=wikitext "HTTP/1.1 404 Not Found"
INFO  | 04/05/2026 11:53:24 AM | File _client.py           | Line 1025  | HTTP Request: GET https://huggingface.co/api/datasets/wikitext/tree/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext-103-raw-v1?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
