INFO  | 04/08/2026 06:51:32 AM | File run.py               | Line 223   | Config: config/experiments/ppo_acrobot_scale_2arg_h128.yaml
INFO  | 04/08/2026 06:51:32 AM | File run.py               | Line 224   | Config hash: b9d2820722c57a6759ece8c2997e088d5867f090592beeafd01652c4ef8ad420
INFO  | 04/08/2026 06:51:32 AM | File run.py               | Line 225   | Save dir: exp/ppo_acrobot_scale_2arg_h128_20260408_065132_b9d28207
INFO  | 04/08/2026 06:51:32 AM | File run.py               | Line 236   | Task type: ppo
INFO  | 04/08/2026 06:51:34 AM | File ppo_runner.py        | Line 60    | PPO on Acrobot-v1 with InnerNetPPO
INFO  | 04/08/2026 06:51:34 AM | File ppo_runner.py        | Line 70    | [Seed 42] (1/10)
INFO  | 04/08/2026 06:51:38 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/08/2026 06:51:59 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-332.0
INFO  | 04/08/2026 06:52:21 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-94.8
INFO  | 04/08/2026 06:52:43 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-78.7
INFO  | 04/08/2026 06:53:05 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-81.7
INFO  | 04/08/2026 06:53:27 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-84.2
INFO  | 04/08/2026 06:53:49 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-79.8
INFO  | 04/08/2026 06:54:11 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-84.9
INFO  | 04/08/2026 06:54:33 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-77.0
INFO  | 04/08/2026 06:54:55 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-81.0
INFO  | 04/08/2026 06:55:17 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-89.6
INFO  | 04/08/2026 06:55:39 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-88.7
INFO  | 04/08/2026 06:56:01 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-93.5
INFO  | 04/08/2026 06:56:23 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-85.8
INFO  | 04/08/2026 06:56:45 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-91.1
INFO  | 04/08/2026 06:57:07 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-82.5
INFO  | 04/08/2026 06:57:29 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-74.4
INFO  | 04/08/2026 06:57:51 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-70.2
INFO  | 04/08/2026 06:58:13 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-65.7
INFO  | 04/08/2026 06:58:35 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-78.3
INFO  | 04/08/2026 06:58:57 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-72.6
INFO  | 04/08/2026 06:58:57 AM | File ppo_runner.py        | Line 73    | [Seed 42] Done. Final avg(last 20): -94.33
INFO  | 04/08/2026 06:58:57 AM | File ppo_runner.py        | Line 70    | [Seed 43] (2/10)
INFO  | 04/08/2026 06:59:01 AM | File ppo_runner.py        | Line 183   |   Update 1/200: eval=-500.0
INFO  | 04/08/2026 06:59:21 AM | File ppo_runner.py        | Line 183   |   Update 10/200: eval=-131.0
INFO  | 04/08/2026 06:59:43 AM | File ppo_runner.py        | Line 183   |   Update 20/200: eval=-126.9
INFO  | 04/08/2026 07:00:05 AM | File ppo_runner.py        | Line 183   |   Update 30/200: eval=-93.9
INFO  | 04/08/2026 07:00:28 AM | File ppo_runner.py        | Line 183   |   Update 40/200: eval=-87.1
INFO  | 04/08/2026 07:00:50 AM | File ppo_runner.py        | Line 183   |   Update 50/200: eval=-93.1
INFO  | 04/08/2026 07:01:12 AM | File ppo_runner.py        | Line 183   |   Update 60/200: eval=-85.5
INFO  | 04/08/2026 07:01:34 AM | File ppo_runner.py        | Line 183   |   Update 70/200: eval=-80.8
INFO  | 04/08/2026 07:01:56 AM | File ppo_runner.py        | Line 183   |   Update 80/200: eval=-80.0
INFO  | 04/08/2026 07:02:18 AM | File ppo_runner.py        | Line 183   |   Update 90/200: eval=-82.3
INFO  | 04/08/2026 07:02:40 AM | File ppo_runner.py        | Line 183   |   Update 100/200: eval=-95.8
INFO  | 04/08/2026 07:03:02 AM | File ppo_runner.py        | Line 183   |   Update 110/200: eval=-80.9
INFO  | 04/08/2026 07:03:24 AM | File ppo_runner.py        | Line 183   |   Update 120/200: eval=-76.7
INFO  | 04/08/2026 07:03:46 AM | File ppo_runner.py        | Line 183   |   Update 130/200: eval=-119.5
INFO  | 04/08/2026 07:04:08 AM | File ppo_runner.py        | Line 183   |   Update 140/200: eval=-77.0
INFO  | 04/08/2026 07:04:30 AM | File ppo_runner.py        | Line 183   |   Update 150/200: eval=-75.3
INFO  | 04/08/2026 07:04:52 AM | File ppo_runner.py        | Line 183   |   Update 160/200: eval=-74.0
INFO  | 04/08/2026 07:05:14 AM | File ppo_runner.py        | Line 183   |   Update 170/200: eval=-78.4
INFO  | 04/08/2026 07:05:36 AM | File ppo_runner.py        | Line 183   |   Update 180/200: eval=-70.3
INFO  | 04/08/2026 07:05:58 AM | File ppo_runner.py        | Line 183   |   Update 190/200: eval=-68.8
INFO  | 04/08/2026 07:06:20 AM | File ppo_runner.py        | Line 183   |   Update 200/200: eval=-77.0
